# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 540  of event 'sched:sched_switch'
# Event count (approx.): 540
#
# Overhead  Trace output                                                                                                                      
# ........  ..................................................................................................................................
#
     0.19%  prev_comm=fast-discovery- prev_pid=3219183 prev_prio=120 prev_state=S ==> next_comm=ps next_pid=1334422 next_prio=120
     0.19%  prev_comm=fast-discovery- prev_pid=3219183 prev_prio=120 prev_state=S ==> next_comm=ps next_pid=1334660 next_prio=120
     0.19%  prev_comm=fast-discovery- prev_pid=3219183 prev_prio=120 prev_state=S ==> next_comm=ps next_pid=1338359 next_prio=120
     0.19%  prev_comm=fast-discovery- prev_pid=3219183 prev_prio=120 prev_state=S ==> next_comm=python3 next_pid=1336705 next_prio=120
     0.19%  prev_comm=fast-discovery- prev_pid=3219183 prev_prio=120 prev_state=S ==> next_comm=sh next_pid=1334434 next_prio=120
     0.19%  prev_comm=fast-discovery- prev_pid=3219185 prev_prio=120 prev_state=S ==> next_comm=awk next_pid=1336559 next_prio=120
     0.19%  prev_comm=fast-discovery- prev_pid=3219185 prev_prio=120 prev_state=S ==> next_comm=containerd-shim next_pid=2775 next_prio=120
     0.19%  prev_comm=fast-discovery- prev_pid=3219185 prev_prio=120 prev_state=S ==> next_comm=containerd-shim next_pid=41775 next_prio=120
     0.19%  prev_comm=fast-discovery- prev_pid=3219185 prev_prio=120 prev_state=S ==> next_comm=dockerd next_pid=1775 next_prio=120
     0.19%  prev_comm=fast-discovery- prev_pid=3219185 prev_prio=120 prev_state=S ==> next_comm=fast-discovery- next_pid=6619 next_prio=120
     0.19%  prev_comm=fast-discovery- prev_pid=3219185 prev_prio=120 prev_state=S ==> next_comm=gdbus next_pid=1256217 next_prio=139
     0.19%  prev_comm=fast-discovery- prev_pid=3219185 prev_prio=120 prev_state=S ==> next_comm=grep next_pid=1336424 next_prio=120
     0.19%  prev_comm=fast-discovery- prev_pid=3219185 prev_prio=120 prev_state=S ==> next_comm=head next_pid=1335274 next_prio=120
     0.19%  prev_comm=fast-discovery- prev_pid=3219185 prev_prio=120 prev_state=S ==> next_comm=ps next_pid=1335019 next_prio=120
     0.19%  prev_comm=fast-discovery- prev_pid=3219185 prev_prio=120 prev_state=S ==> next_comm=ps next_pid=1338400 next_prio=120
     0.19%  prev_comm=fast-discovery- prev_pid=3219185 prev_prio=120 prev_state=S ==> next_comm=python3 next_pid=1337920 next_prio=120
     0.19%  prev_comm=fast-discovery- prev_pid=3219185 prev_prio=120 prev_state=S ==> next_comm=sh next_pid=1334930 next_prio=120
     0.19%  prev_comm=fast-discovery- prev_pid=3219185 prev_prio=120 prev_state=S ==> next_comm=single next_pid=1256279 next_prio=139
     0.19%  prev_comm=fast-discovery- prev_pid=3219185 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
     0.19%  prev_comm=fast-discovery- prev_pid=3219185 prev_prio=120 prev_state=S ==> next_comm=swapper/7 next_pid=0 next_prio=120
     0.19%  prev_comm=fast-discovery- prev_pid=3219185 prev_prio=120 prev_state=S ==> next_comm=tracker-extract next_pid=1256213 next_prio=139


#
# (Cannot load tips.txt file, please install perf!)
#
